bill_id,bill_type,bill_number,congress,title,status
hr4402-106,hr,4402,106,Training and Education for American Workers Act of 2000,out_of_committee
hr4-107,hr,4,107,Energy Policy Act of 2002,out_of_committee
hr1076-107,hr,1076,107,America's Better Classroom Act of 2001,in_committee
hr987-107,hr,987,107,To transfer management of the Banks Lake Unit of the Okefenokee National Wildlife Refuge.,in_committee
hr1020-107,hr,1020,107,Railroad Track Modernization Act of 2001,out_of_committee
s951-107,s,951,107,Coast Guard Authorization Act of 2001,out_of_committee
s1281-107,s,1281,107,Health Care Safety Net Amendments of 2001,out_of_committee
hr2899-108,hr,2899,108,Border Security and Immigration Improvement Act,in_committee
hr1776-108,hr,1776,108,Pension Preservation and Savings Expansion Act of 2003,out_of_committee
hr4954-108,hr,4954,108,Military Families Bereavement Leave Act,in_committee
hr819-109,hr,819,109,Retirement Security for Life Act of 2005,in_committee
hr84-109,hr,84,109,Online Privacy Protection Act of 2005,in_committee
hr5049-109,hr,5049,109,Keep America Competitive Global Warming Policy Act of 2006,in_committee
hr742-109,hr,742,109,Occupational Safety and Health Small Employer Access to Justice Act of 2005,out_of_committee
hr2555-109,hr,2555,109,Arkansas Valley Conduit Act,in_committee
hr5642-109,hr,5642,109,Safe Climate Act of 2006,in_committee
hr176-109,hr,176,109,FHA Single Family Loan Limit Adjustment Act of 2005,in_committee
hr27-109,hr,27,109,Workforce Investment Act Amendments of 2005,out_of_committee
hr4297-109,hr,4297,109,Tax Increase Prevention and Reconciliation Act of 2005,passed
hr1816-109,hr,1816,109,Truth in Employment Act of 2005,in_committee
hr1316-109,hr,1316,109,527 Fairness Act of 2005,out_of_committee
hr5970-109,hr,5970,109,Estate Tax and Extension of Tax Relief Act of 2006,out_of_committee
hr3763-109,hr,3763,109,Fair Wages for Hurricane Victims Act,in_committee
hr1201-109,hr,1201,109,Digital Media Consumers' Rights Act of 2005,in_committee
hr5858-109,hr,5858,109,Global Resources and Opportunities for Women to Thrive Act of 2006,in_committee
hr4437-109,hr,4437,109,"Border Protection, Antiterrorism, and Illegal Immigration Control Act of 2005",out_of_committee
hr2-109,hr,2,109,Reserved.,not_in_committee
s2264-109,s,2264,109,Consumer Phone Record Security Act of 2006,in_committee
s406-109,s,406,109,Small Business Health Fairness Act of 2005,in_committee
s2045-109,s,2045,109,Health Care for Hybrids Act,in_committee
s1033-109,s,1033,109,Secure America and Orderly Immigration Act,in_committee
s485-109,s,485,109,National Geologic Mapping Reauthorization Act of 2005,out_of_committee
s219-109,s,219,109,National Employee Savings and Trust Equity Guarantee Act of 2005,in_committee
s1783-109,s,1783,109,Pension Security and Transparency Act of 2005,out_of_committee
s3301-109,s,3301,109,A bill to suspend temporarily the duty on electronic under-the-cabinet mounting electric can openers.,in_committee
s3800-109,s,3800,109,Stop Assistance to Counterfeiters Act,in_committee
s3936-109,s,3936,109,National Competitiveness Investment Act,out_of_committee
s359-109,s,359,109,"Agricultural Job Opportunities, Benefits, and Security Act of 2005",in_committee
s418-109,s,418,109,Military Personnel Financial Services Protection Act,passed
s3952-109,s,3952,109,Automatic IRA Act of 2006,in_committee
s853-109,s,853,109,North American Cooperative Security Act,in_committee
s2610-109,s,2610,109,"A bill to enhance the management and disposal of spent nuclear fuel and high-level radioactive waste, and for other purposes.",in_committee
hres888-110,hres,888,110,"Affirming the rich spiritual and religious history of our Nation's founding and subsequent history and expressing support for designation of the first week in May as ""American Religious History Week"" for the appreciation of and education on America's history of religious faith.",in_committee
hres672-110,hres,672,110,"Supporting the goals and ideals of National Prostate Cancer Awareness Month, and for other purposes.",in_committee
hres980-110,hres,980,110,Authorizing the Committee on the Judiciary to initiate or intervene in judicial procedings to enforce certain subpoenas.,in_committee
hres979-110,hres,979,110,"Recommending that the House of Representatives find Harriet Miers and Joshua Bolten, Chief of Staff, White House, in contempt of Congress for refusal to comply with subpoenas duly issued by the Committee on the Judiciary.",in_committee
hres762-110,hres,762,110,Supporting the goals of National Bullying Prevention Awareness Week.,passed
hres620-110,hres,620,110,"Expressing the sense of the House of Representatives that Turkey should end its military occupation of the Republic of Cyprus, particularly because Turkey's pretext has been refuted by over 13,000,000 crossings by Turkish-Cypriots and Greek-Cypriots into each other's communities without incident.",in_committee
hres524-110,hres,524,110,Expressing the sense of the House of Representatives with respect to Diamond-Blackfan Anemia.,passed
hres353-110,hres,353,110,Expressing the sense of the House of Representatives that there should be an increased commitment supporting the development of innovative advanced imaging technologies for prostate cancer detection and treatment.,passed
hres1213-110,hres,1213,110,"Providing for consideration of the bill (H.R. 5658) to authorize appropriations for fiscal year 2009 for military activities of the Department of Defense, to prescribe military personnel strengths for fiscal year 2009, and for other purposes.",passed
hjres20-110,hjres,20,110,"Revised Continuing Appropriations Resolution, 2007",passed
hjres9-110,hjres,9,110,Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the act of desecration of the flag of the United States and to set criminal penalties for that act.,in_committee
hjres57-110,hjres,57,110,Proposing an amendment to the Constitution of the United States relating to Congressional succession.,in_committee
sres710-110,sres,710,110,"A resolution designating the week of February 2 through February 6, 2009, as ""National Teen Dating Violence Awareness and Prevention Week"".",passed
sres673-110,sres,673,110,A resolution recognizing the importance of workplace wellness as a strategy to help maximize employees' health and well being.,passed
hr1022-110,hr,1022,110,Assault Weapons Ban and Law Enforcement Protection Act of 2007,in_committee
hr5200-110,hr,5200,110,To suspend temporarily the duty on fiber optic amplifier type ILVS 19/4 with metal housing.,in_committee
hr1119-110,hr,1119,110,Purple Heart Family Equity Act of 2007,passed
hr7067-110,hr,7067,110,"Quality FIRST (From Incentives, Reporting, Standards, and Technology) Act of 2008",in_committee
hr1644-110,hr,1644,110,Re-Empowerment of Skilled and Professional Employees and Construction Tradesworkers (RESPECT) Act,out_of_committee
hr4179-110,hr,4179,110,"Fair, Accurate, Secure, and Timely Redress Act of 2008",out_of_committee
hr5553-110,hr,5553,110,To suspend temporarily the duty on certain travel bags.,in_committee
hr2075-110,hr,2075,110,New Markets Tax Credit Extension Act of 2007,in_committee
hr4347-110,hr,4347,110,To extend the suspension of duty on Baypure DS.,in_committee
hr5852-110,hr,5852,110,Great Ape Protection Act,in_committee
hr3257-110,hr,3257,110,FIT Kids Act,in_committee
hr635-110,hr,635,110,"To amend the Clean Air Act to require that, after the year 2012, all gasoline sold to consumers in the United States for motor vehicles contain not less than 10 percent renewable fuel, and for other purposes.",in_committee
hr5634-110,hr,5634,110,New American Innovators Act,in_committee
hr984-110,hr,984,110,Executive Branch Reform Act of 2007,out_of_committee
hr4296-110,hr,4296,110,Medicare Electronic Medication and Safety Protection (E-MEDS) Act of 2007,in_committee
hr4109-110,hr,4109,110,Prison Abuse Remedies Act of 2007,in_committee
hr1180-110,hr,1180,110,Western Waters and Farm Lands Protection Act,in_committee
hr7333-110,hr,7333,110,Special Inspector General for the Troubled Asset Relief Program Act of 2008,in_committee
hr4105-110,hr,4105,110,Medicare Recovery Audit Contractor Program Moratorium Act of 2007,in_committee
hr1199-110,hr,1199,110,Drug Endangered Children Act of 2007,passed
hr894-110,hr,894,110,Responsible Campaign Communications Act of 2007,in_committee
hr2701-110,hr,2701,110,Transportation Energy Security and Climate Change Mitigation Act of 2007,out_of_committee
hr6707-110,hr,6707,110,Taking Responsible Action for Community Safety Act,out_of_committee
hr4049-110,hr,4049,110,Money Service Business Act of 2008,out_of_committee
hr281-110,hr,281,110,Universal Right to Vote by Mail Act of 2008,out_of_committee
hr1926-110,hr,1926,110,Colon Cancer Screen for Life Act of 2007,in_committee
hr1321-110,hr,1321,110,Medicare Advanced Laboratory Diagnostics Act of 2007,in_committee
hr3450-110,hr,3450,110,College Student Success Act,in_committee
hr380-110,hr,380,110,Pharmaceutical Market Access and Drug Safety Act of 2007,in_committee
hr2896-110,hr,2896,110,Teachers at the Table Act,in_committee
hr3977-110,hr,3977,110,To amend the Harmonized Tariff Schedule of the United States to clarify the tariff rate for certain mechanics' work gloves.,in_committee
hr411-110,hr,411,110,"To amend the Internal Revenue Code of 1986 to make permanent certain temporary provisions applicable to individuals, including the sales tax deduction, the child credit, the repeal of the estate tax, and the deduction for higher education expenses.",in_committee
hr6111-110,hr,6111,110,Employee Misclassification Prevention Act,in_committee
hr3633-110,hr,3633,110,To provide for export controls of certain items relating to civil aircraft.,in_committee
hr3024-110,hr,3024,110,Healthy Children and Families Act of 2007,in_committee
hr1650-110,hr,1650,110,Railroad Antitrust Enforcement Act of 2008,out_of_committee
hr495-110,hr,495,110,Oregon Water Resources Management Act of 2007,out_of_committee
hr6433-110,hr,6433,110,Animal Generic Drug User Fee Act of 2008,out_of_committee
hr5280-110,hr,5280,110,Stop Unfair Practices in Credit Cards Act of 2007,in_committee
hr7181-110,hr,7181,110,Life Sustaining Treatment Preferences Act of 2008,in_committee
hr977-110,hr,977,110,Genomic Research and Accessibility Act,in_committee
hr6151-110,hr,6151,110,Responsibility in Drug and Device Advertising Act of 2008,in_committee
hr6619-110,hr,6619,110,Savings for the Uninsured on Rx Expenses (SURE) Act of 2008,in_committee
hr3981-110,hr,3981,110,Preserve America and Save America's Treasures Act,out_of_committee
hr6896-110,hr,6896,110,Timber Revitalization and Economic Enhancement Act II of 2008,in_committee
hr1851-110,hr,1851,110,Section 8 Voucher Reform Act of 2007,out_of_committee
hr4-110,hr,4,110,Medicare Prescription Drug Price Negotiation Act of 2007,out_of_committee
hr5983-110,hr,5983,110,Homeland Security Network Defense and Accountability Act of 2008,out_of_committee
hr404-110,hr,404,110,Federal Customer Service Enhancement Act of 2008,out_of_committee
hr6884-110,hr,6884,110,Bone Marrow Failure Disease Research and Treatment Act of 2008,in_committee
hr1952-110,hr,1952,110,National Health Information Incentive Act of 2007,in_committee
hr1970-110,hr,1970,110,Northwestern New Mexico Rural Water Projects Act,in_committee
hr989-110,hr,989,110,Innocent Sellers Fairness Act,in_committee
