committee_id,bill_id
HSED,hr4098-106
HSED,hr4402-106
HSPW,hr2950-107
HSWM,hr2950-107
HSPW,hr3792-107
HSPW,hr2901-107
HSAS,hr2901-107
HSPW,hr3930-107
HSWM,hr3930-107
HSPW,hr1020-107
SSCM,s127-107
SSCM,s951-107
SSHR,s1281-107
SSCM,s1515-107
SSHR,s277-107
HSWM,hr1776-108
HSED,hr1776-108
HSED,hr4954-108
HSGO,hr4954-108
HSHA,hr4954-108
SSHR,s1513-108
SSHR,s545-108
SSFI,s1-108
HSGO,hres912-109
HSWM,hres84-109
HSWM,hr819-109
HSWM,hr3873-109
HSED,hr742-109
HSJU,hr742-109
HSII,hr2555-109
HSED,hr2931-109
HSIF,hr467-109
HSWM,hr467-109
HSIF,hr5642-109
HSFA,hr5642-109
HSIF,hr955-109
HSBA,hr280-109
SSBK,hr280-109
HSVR,hr1588-109
HSAS,hr1588-109
HSAP,hr5672-109
SSAP,hr5672-109
HSWM,hr2063-109
HSBA,hr2803-109
HSIF,hr503-109
HSAG,hr503-109
HSBA,hr1461-109
HSJU,hr1461-109
SSBK,hr1461-109
HSIF,hr583-109
HSED,hr758-109
SSCM,hr758-109
HSWM,hr5970-109
HSIF,hr5970-109
HSED,hr5970-109
HSII,hr5970-109
HSWM,hr1872-109
HSED,hr3763-109
HSIF,hr5761-109
HSIF,hr1201-109
HSJU,hr1201-109
HSED,hr1696-109
HSED,hr1177-109
HSJU,hr4437-109
HSHM,hr4437-109
HSED,hr4437-109
HSWM,hr4437-109
SSJU,hr4437-109
SSBK,s3508-109
SSHR,s902-109
SSCM,s3961-109
SSCM,s2264-109
SSHR,s1283-109
SSJU,s3274-109
SSJU,s3818-109
SSFI,s2045-109
SSEV,s1995-109
SSEG,s485-109
SSFI,s219-109
SSFI,s3301-109
SSFR,s3800-109
SSJU,s359-109
SSBK,s418-109
SSFR,s853-109
SSEV,s2610-109
SSHR,s1749-109
SSFI,s11-109
SSBK,s1-109
HSJU,hres499-110
HSBA,hres499-110
HSHM,hres499-110
HSRU,hres982-110
HSFA,hres235-110
HSGO,hres700-110
SSBU,sconres21-110
SSHR,sconres93-110
SSBU,sconres70-110
SSFR,sres331-110
SSJU,sres239-110
SSHR,sres35-110
SSEV,sres729-110
HSSY,hconres425-110
HSGO,hconres425-110
HSHA,hconres357-110
HSAG,hconres25-110
HSIF,hconres25-110
HSII,hconres25-110
SSAF,hconres25-110
HSFA,hconres171-110
HSBA,hr7333-110
HSWM,hr4105-110
HSIF,hr4105-110
HSJU,hr1199-110
HSIF,hr1199-110
SSJU,hr1199-110
HSHA,hr894-110
HSPW,hr2701-110
HSPW,hr6707-110
HSBA,hr4049-110
SSBK,hr4049-110
HSHA,hr281-110
HSIF,hr1926-110
HSWM,hr1926-110
HSIF,hr1321-110
HSWM,hr1321-110
HSED,hr3450-110
HSIF,hr380-110
HSED,hr2896-110
HSWM,hr3977-110
HSWM,hr411-110
HSWM,hr7114-110
HSIF,hr7114-110
HSJU,hr4789-110
HSAP,hr6599-110
HSIF,hr6903-110
HSED,hr1344-110
HSAG,hr1344-110
HSSY,hr6063-110
SSCM,hr6063-110
HSWM,hr4365-110
HSIF,hr4703-110
HSHM,hr1333-110
HSPW,hr1333-110
SSGA,hr1333-110
HSWM,hr5681-110
HSWM,hr6756-110
HSWM,hr5109-110
HSWM,hr2312-110
HSII,hr442-110
HSRU,hr1733-110
HSWM,hr4971-110
HSWM,hr1663-110
HSIF,hr1663-110
HSJU,hr6843-110
HSWM,hr4786-110
HSWM,hr3427-110
HSWM,hr4564-110
HSWM,hr7139-110
HSIF,hr7139-110
HSJU,hr2104-110
HSED,hr1410-110
HSED,hr5838-110
HSJU,hr3547-110
HSED,hr3547-110
HSWM,hr4524-110
HSHA,hr1298-110
HSWM,hr4553-110
HSIF,hr2997-110
HSAG,hr2997-110
HSWM,hr2997-110
HSGO,hr1124-110
HSAG,hr6124-110
HSFA,hr6124-110
HSGO,hr3854-110
HSED,hr3747-110
HSHM,hr4749-110
SSGA,hr4749-110
HSED,hr3075-110
HSED,hr2831-110
SSJU,hr2831-110
HSIF,hr4082-110
HSWM,hr4082-110
HSBA,hr1780-110
HSHA,hr5695-110
HSPW,hr1548-110
HSBA,hr1548-110
HSWM,hr4802-110
HSJU,hr6713-110
HSJU,hr841-110
HSWM,hr4316-110
HSWM,hr4573-110
HSWM,hr7273-110
HSED,hr1429-110
HSWM,hr4887-110
HSAS,hr5821-110
HSIF,hr6170-110
HSED,hr2857-110
HSGO,hr264-110
HSWM,hr4985-110
HSIF,hr1968-110
HSIF,hr2073-110
