client_id,client_name
71a1577e-601c-5766-b423-7ebd4e32340f,MASSIF
5c2980bb-a08e-5889-9c36-293c7691a58c,"ID INTEGRATION, INC."
02069862-be52-5afc-b820-ec979d5f7f39,1ST FINANCIAL BANK USA
9694e5d5-f236-51b6-8892-e70ad1e74046,INTERNATIONAL MANGANESE INSTITUTE
a28611e0-623c-5d13-ae83-6c43ead9d324,CHILDREN'S HEALTHCARE OF ATLANTA
f80bd149-1858-596f-8ac2-4643c2ea83ec,COLUMBUS REGIONAL AIRPORT AUTHORITY
cb7133d5-f67b-562f-bd5e-18722c5356b2,COUNCIL ON FOUNDATIONS
a4a7520b-3fce-5a8d-a175-96219c93b7d5,NORTH PACIFIC PAPER COMPANY (NORPAC)
c07ba34e-ed08-521f-ad0e-a9dd065999b7,CLEAN FUELS DEVELOPMENT COALITION
deadb383-2cd4-5a71-97c2-bb608cd44cc8,SOUTHEASTERN FEDERAL POWER CUSTOMER GROUP
e99a0905-0d99-556d-a21f-b4bb5966244d,"DIABETICA SOLUTIONS, INC."
a0554035-aa7c-5da0-b6c7-1f611dbc9959,INSIGHTS ASSOCIATION (FKA: MARKETING RESEARCH ASSOCIATION)
9f7561d1-628a-51f4-ad7b-475e2fbb20ac,OXFAM AMERICA
a80f14e3-feaa-50cb-9ae0-99320e9e188a,SAINT AUGUSTINE'S UNIVERSITY
d6d3b701-2058-5c43-9072-a8c61ef964b8,ICON MULTI MEDIA GROUP
287cd65d-aed2-5af7-ad6a-abc6625bfb3a,APPLETON PAPERS INC
119fa43c-68c4-5a2c-93e3-3de8be953690,"TASC, INC."
5bdde84c-f57a-52ec-a8e0-836296dddfb6,GUARDIAN REALTY INVESTORS
7b63f526-95e5-5865-b2fe-0295abd8320d,U.S. TAMIL POLITICAL ACTION COUNCIL (USTPAC)
41c70da3-8c06-5bb2-9ffe-fdb4ea13ba53,WAYNE COUNTY
1039fec5-e6d8-5f60-bdca-8fefad1632db,AUTOCAR
f98dcdc7-cb1d-52f3-ab6b-a6377a7cf4e0,VALUE OPTIONS
5f9eba7d-59eb-5608-8eec-4257dbd9c89d,LAPIS MIDDLE EAST AND AFRICA
e26ba0f8-2388-555e-b066-8f51e45d2d12,AIR JAMAICA LIMITED
61c41fc7-d5ad-523e-8e16-40e7ef86463f,TEXAS CATTLE FEEDERS ASSOCIATION
7066d7b3-94f2-5d60-8ee5-ba16592674f0,CONNECTICUT MUNICIPAL ELECTRIC ENERGY COOPERATIVE
c9cff160-44c2-5c8e-8a71-f22ca8be5bed,SAIC
ccd9f49f-4534-5390-8f88-d4114c0d3a40,AGRICULTURAL NUTRIENT POLICY COUNCIL
bacd7d80-6aa1-5877-8464-c1a8676ca588,"DAICEL SAFETY TECHNOLOGIES AMERICA, INC."
35b6dd6c-c165-5e1c-908c-de064d0c0edb,ZURICH FINANCIAL SERVICES GROUP
dedc40fe-3806-5c7d-b446-ebe4b9b4c25b,AMERICAN SESAME GROWERS ASSOCIATION
384db012-f238-5b6d-97da-b9f693575ec1,BAUSCH & LOMB
eaa9d665-da05-57e3-bb33-87e19d45d8fd,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS
f037d4cb-1feb-54b9-98eb-effeb7bc7532,"NOTTINGHAM SPIRK DESIGN ASSOCIATES, INC."
05613513-5605-5532-ae78-d2059110ffab,A G SPANOS COMPANIES
cd6769e0-2cad-5dce-b17b-ca77ab999553,FIREARMS IMPORTERS ROUNDTABLE TRADE GROUP
1947fad7-c381-5952-a56b-db3d841c7fa3,VIRGIN VALLEY WATER DISTRICT
55dc9489-dba6-521d-8316-b6dd67702c73,ICICLE SEAFOODS INC
9ab4b4d3-eb50-528d-8c16-8466000bf64d,HICHAM S. CHAHINE
1aabe314-1d37-59ed-a6f5-6c8049c44c34,CITY AND BOROUGH OF JUNEAU
dd75c8a3-aebb-502b-acd7-815a22a34a14,CITY OF HILLSBORO
4e82a411-628b-5ab2-92ca-6b0d2a0d6c46,CARTERET COUNTY
27eb3b17-3661-51c8-8577-adf5277960a6,NAIRO
50873729-7aed-58b3-88fa-4819beba4d3d,HUNTINGTON INGALLS INCORPORATED
bc7e81c7-8566-5140-89a7-618dcd96ebf6,BLOOM HEALTH CORPORATION
d2257502-0e61-5cf8-99bb-362f0c67e2fa,SUSQUEHANNA TOWNSHIP
bcd0fa1e-fbbc-51ee-9e3f-7885477f3726,"RANCH JOINT VENTURES, LLC"
f088e32b-d429-5fc9-a49a-2e32d10b493c,THE CANADIAN CHAMBER OF COMMERCE
ae9ca50d-ae4e-5f21-8872-9eaa7a20736f,SKYWATER TECHNOLOGY FOUNDRY
39a1d309-981b-5ef4-809a-e5763f8a08e5,ULTRA ELECTRONICS PRECISION AIR SYSTEMS INC
25f6fe9d-067e-56f7-a59a-d44dc8cab4ab,MERCANTILE CAPITAL CORPORATION
5f8820e4-4f3d-5c1b-8f66-aa6d5cf675e9,DANIEL ANDERSON
0c3ce1f8-1e64-543b-8f36-a84764cac4f4,FAMILIES OF SPINAL MUSCULAR ATROPHY
fd6a8cf2-4be4-5360-8caf-0fd6ced4296b,CAREER EDUCATION COLLEGES AND UNIVERSITIES
33b99829-a720-56c6-945b-25cf080b1566,"SAVE THE CHILDREN ACTION NETWORK, INC."
155e54bb-1327-552f-9297-941685ddf6bc,"SACRED WIND COMMUNICATIONS, INC"
f406962b-4b4a-53aa-8876-0c0bbc90bf01,NANOBLOX INC
c0361e2b-8bfe-558a-91f0-4390f3df59c9,TTE CORPORATION
626baf99-a872-525e-904b-104c403a77cf,COUNCIL OF INSURANCE AGENTS & BROKERS
103dbb03-6961-53e7-a44d-08cb9c5216a5,BIPARTISAN POLICY CENTER ACTION
783a8a23-9289-5cb3-935e-0621ebf81f2a,NORTHEASTERN MINNESOTANS FOR WILDERNESS
8b7d6ed3-b6ec-52c2-850f-48fdfe9db224,GRADIENT ANALYTICS
0d1c74ca-04b6-53c8-8d0f-96d065db33c9,NATIONAL ACTIVE AND RETIRED FEDERAL EMPLOYEES ASSOCIATION
5700f6c9-5a9d-5348-9e46-5b275ac1e35e,ASSOCIATION OF INFORMATION PROTECTION
9e0b176e-f7a3-597f-a7ec-ff8e18d5ef75,ALLIANCE FOR DOWNTOWN NEW YORK
318c7ab7-c490-572b-ab9b-f9b2ce629c26,PATHWAYSPA
288fbd46-5157-5070-aa33-b95f005865bd,INTERCONTINENTAL HOTELS GROUP
c7252f1e-17d7-5378-9605-1e77bc32ed2c,NATIONAL COUNCIL ON ALCOHOLISM & DRUG DEPENDENCE INC
8e015eff-4276-5af5-844c-35578cf0b43e,CARNEGIE HALL CORPORATION
574f4f45-6ad7-5b9d-bc6e-f4621bd81181,"CONSEJO EMPRESARIAL DE AMERICA LATINA, CAPITULO HONDURAS"
5f6483a2-69d1-50b6-8a67-1ca2a860c717,ENERGY STORAGE ASSOCIATION
5a5a47c9-6303-5f68-b7a0-07917eb35317,SEAL BEACH
c79bef20-1384-577f-99f5-81f68e96b200,LUMMI NATION
bab80f69-457e-5bd2-9df6-c9f93ba74ae9,GIFT OF LIFE DONOR PROGRAM
3d48ef2c-de09-5d64-b42c-73fd0bf3f4e7,SEMITROPIC WATER STORAGE DISTRICT
e296b541-2732-59f0-8728-4fe09e9409ec,INVENERGY LLC
b2df9ce4-7330-57df-8578-8745ec1fb428,COMMISSION FOR CASE MANAGER CERTIFICATION
eb105983-ba0e-5d17-80ba-804126a73dcf,"BIOPROCESSALGAE, LLC"
a89dc425-450b-5bfc-8ccb-6fa90fbff48d,MEDTRONIC
228b87b7-d3a3-56e3-aefb-087169af13e3,"SAFARILAND, LLC"
5566bd1e-bc17-58bc-99d4-5767db280196,ACE MENTOR PROGRAM
df42bfb6-cd21-5dca-b59b-f10ac3171ec4,CHICAGO TRANSIT AUTHORITY
de88d9f4-b2af-5432-85d0-d2e3ca6dfcc8,"TRANSPORTATION ALTERNATIVES, INC."
03cff7e0-38ce-5604-8a74-b73c69bcfa78,VIDANT HEALTH
597ad246-2e22-556e-9a48-f34151315221,NORTH AMERICAN GSM ALLIANCE
64d240db-2147-5f30-a98e-208daab00525,PAYLESS SHOESOURCE
88f930c7-c7c2-5274-bac1-34d4bac4c883,MORRIS COLLEGE
1bded772-c61a-584c-9cf2-3ce8f2ca9908,COLLEGE SUCCESS FOUNDATION
8c318d3f-129f-55de-9891-e404506ab56c,DUNELAND SCHOOL SYSTEM
28179d62-15ed-54d6-8b81-857651fd9317,GLOBAL ADVANCED METALS
92353402-7fce-5247-8155-795e2d65056e,CALIFORNIANS FOR SCHOOL FACILITIES
cdd45c4c-011e-5875-abbf-f9a5b6ccf0a5,XEROX CORPORATION
24553788-36f6-537b-8eb3-062ca803fc42,AMERICAN CLEANING INSTITUTE
82ddb922-108a-590d-a96e-350b0ea8d0c3,KODIAK ROBOTICS
94e8898d-3ba9-58cd-9a7a-f913ef98f336,SIMS METAL MANAGEMENT
6cff65a9-40b7-5a71-90a6-027a91d37aca,STAN SCHLUETER CONSULTING
34263b07-b679-585b-b715-3de57c4a4c5b,DOUGLAS COUNTY NEBRASKA
b49adfac-40f4-5aed-8610-28e89ed13c5d,AROTECH CORPORATION
87e98263-bfd0-5541-abdd-183cf0e1fb5b,VISTA OUTDOOR
7cd6afe3-1f6b-5f0e-b8ba-8ab8f58b00c5,UNITED AGRIBUSINESS LEAGUE
c722c9b2-e950-550e-9042-9183a5f57986,POWDER RIVER ENERGY CORPORATION
4d4c3df6-de38-5f07-85fd-03f3905448f3,NEW GENERATION BIOFUELS (FORMERLY H2DIESEL)
aeb9374c-e5f4-5bf5-b745-c710d33d0485,USFHP ALLIANCE
4b7c75f9-740f-53f7-a3d3-d2d72f812bff,PIERCE COUNTY
8e837762-4386-572e-91bf-918591088bf6,SOAR FOUNDATION
999ec923-ef5e-5114-b7f1-cff33673b8aa,"WILMORITE, INC."
deebb406-ad74-5830-948c-dceecd208aa7,NATIONAL WATER RESOURCES ASSOCIATION
a5dc75e6-3fdc-5715-b503-aeccce9d0dbc,"MAMMOTH LAKES, CALIFORNIA"
51aabef3-0005-59e5-8339-5ea1e9dff759,PERALTA COMMUNITY COLLEGE DISTRICT
8b65cbf2-a3f1-5c7c-a956-64da60b39280,ODAWI LAW PLLC ON BEHALF OF PRAIRIE BAND POTAWATOMI NATION
9d98ca5f-ded7-53d2-a391-f21c9e6205a7,TETHYS BIOSCIENCE
c04efe80-de92-5db1-ac59-7078f1578a83,WHITESTAR INTERNATIONAL INC
c6761beb-7e12-59d3-b00e-d3d656ba36a8,COALITION FOR FAIR COMPETITION
14510812-12aa-5e8c-b0bf-be7d9ed2dd6e,OSEN LLC
6a557d8b-97dd-540d-b80e-01ae424084f2,MEMORIAL HEALTH SYSTEM
31a04347-2fab-5936-a31c-792a7aad393b,"GRAMERCY FUNDS MANAGEMENT, LLC"
b152d4cb-52e8-50ee-b592-365351637849,ACCREDITATION COUNCIL FOR GRADUATE MEDICAL EDUCATION
89eac2cf-bc73-5030-81be-750bd9325df6,MCVEAN TRADING
8cc55a3e-ef9d-56c0-a7c9-0712837c14af,AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES
d528aa76-4d91-5484-a31d-6939c06d1cf5,AUTOMOTIVE MANAGEMENT SERVICES
de78c323-36f0-5040-b0d2-6c32d1c30143,MALAYSIA-US FRIENDSHIP COUNCIL
396bf560-da1a-5fb6-ae38-3cac0a646c09,"HEALTH CARE NAVIGATORS, LLC"
72231972-78cb-5101-981f-5156022ed574,FOREST PRODUCT INDUSTRY NATIONAL LABOR MANAGEMENT COMMITTEE
2d72082a-cd1f-5a95-a9e1-e977b782c191,SEED FOUNDATION
f1b322e3-8ba7-55cd-8184-231ada7b51df,IGOV
8624fca3-d680-5dd6-a4b1-d66a4478161d,ALLIANCE FOR CHILDREN AND FAMILIES
60c9939d-98eb-5348-b28f-cedb2256c5e1,"DAREX, LLC"
05b8c09d-ab6a-5e86-b034-74fe398fccd1,LIVINGSTON GROUP (FOR HERITAGE OF AMERICA)
cdcebe87-308a-5ab6-ac0d-ff1bb88f5190,"FIRST PRINCIPLES STRATEGIES ON BEHALF OF MOLNLYCKE HEALTH CARE US, LLC"
1c72a688-97d1-5d9e-a771-0f9a965dc716,INGEVITY CORPORATION
e1f10ab3-19e5-5993-8b39-8bfbbd34dc99,AQUARIUM OF THE PACIFIC
d3f95d3f-0aee-571f-8e4d-75f3884a9065,"WESTERN PACIFIC TIMBER, LLC"
6bbbb5db-353b-5dec-b65d-3c455b9affaa,ADA TECHNOLOGIES INC
5ab89e4a-1785-5423-98a2-e3cf07f3ad81,CLINICAL RESEARCH FORUM
57fde6f0-15f1-5f39-bd51-da9d88bc5d5b,COASTAL TRANSPORTATION
2e51c06b-0bb6-58fe-b673-7fdf7ae356a6,BOSSIER PARISH POLICE JURY
059bcf3b-262f-5599-ae52-d102c9de6787,GREEN APPLE ACCREDITATIONS & IGAA
a304c1a3-c3c9-529f-b505-f778c2d585d0,FUSION PAPERBOARD
81ddfa0c-bcc6-5446-a208-819c15584b74,LAW OFFICES OF EUGENE VAMOS
a7615659-7849-53c2-b646-4bfd5e45020d,TEXAS CHILDREN'S HOSPITAL
2517e9ec-71c7-555e-b89c-c10da0666ef2,COX COLLEGE
496cff18-c252-5486-97ad-da9d9b3878c9,JOHN NAU III
12b65118-4283-57c3-bbf1-f409f871fad0,"DAVID L. HORNE, LLC ON BEHALF OF SORENSON ENGINEERING, INC."
111370ff-ae6f-50ac-b215-2b00e7a4d374,"CLIFTON LARSON ALLEN, LLP"
1addac98-3b7e-58f7-9295-dcb5fc889970,JACKSON COUNTY MISSISSIPPI (BOARD OF SUPERVISORS)
aaeca2b5-86a2-5b1c-b055-8e5293a17d8f,SOLUBLE SYSTEMS LLC
8552dfc9-e3b9-5e65-b423-04cceebbde59,WESTCARE FOUNDATION
f2836af6-187a-53f3-830b-e61adecfcee7,ARCH PRECISION COMPONENTS CORP.
fba39fa9-44f0-545d-bfe6-1b4dc9150fb3,TRANSPORTATION CORRIDOR SYSTEM
31454b0a-2ce9-5768-bd79-cf514d1da72c,SAN CARLOS APACHE TRIBE
ba29cf03-78d2-5d24-8d35-6c95af7c0901,CARNIVAL CORPORATION
be507f42-ff5c-50ff-853c-6b756036edb2,"VIKING LUMBER COMPANY, INC."
ba767bd6-58b8-542e-86de-f3184c3836d1,"THOMPSON COBURN ON BEHALF OF BED, BATH AND BEYOND (FORMERLY OVERSTOCK.COM)"
0960dcc2-1c0b-5854-9894-61896ece7610,BORDERFREE
42d3dd5d-15e1-5e7f-bff7-b9a958a74852,COMMODITY MARKETS COUNCIL
2d957485-63f7-5df5-8b97-f46ac7dec300,RETRC
cd06bfd6-b21c-5487-a483-333f55c9076e,INTEGRA TELECOM
7a26748b-6e30-5513-a4bb-a0840cfced55,NATIONAL ASSOCIATION OF REHABILITATION PROVIDERS AND AGENCIES
c3c64224-e5be-578c-9ef8-63c139e36fc9,HEALTHCORPS
7d404781-1a83-558f-a8cc-fb5d5167d7fb,INCAPITAL LLC
7fab3711-d153-5028-a37a-64edcb960ca1,PHYSICIAN CLINICAL REGISTRY COALITION
a8ea2c0d-b5d8-51cb-bb23-cc36bbd9c6f9,CASTAIC LAKE WATER AGENCY
7f62b2dd-88c5-5b58-8c66-c87d63b17144,KANSAS BOSTWICK IRRIGATION DISTRICT 2
3bc0337c-b9b3-5942-a5bd-70c717780152,"HEARTFLOW, INC."
83dcb322-a989-56b0-8491-489c8ebb9758,TRUST FOR ARCHITECTURAL EASEMENTS
62667446-f11d-53eb-988a-18e27118b1f2,THE FRIEDLANDER GROUP
9f6738ee-2d83-5167-bb8e-7287357feeed,INDEPENDENT PILOTS ASSOCIATION
16884357-49e0-5365-a982-5b65e8c6f739,ALLEGHENY CONFERENCE ON COMMUNITY DEVELOPMENT
a86a447f-2a1f-5fed-8751-b21313e28f18,NATIONAL ASSOCIATION OF EXCLUSIVE BUYER AGENTS
53d24e35-b42c-54d8-8650-8ccf87a646a2,NATIONAL MEDICAL SERVICES D/B/A NMS LABS
57bc22c5-1f41-51e3-bee4-404eafcc9c08,PICAYUNE RANCHERIA OF THE CHUKCHANSI INDIANS
fce753bd-b011-5e18-a8bb-f30d9571d01c,PICKERING & ASSOCIATES
91f1cb4e-62ee-59a8-9717-56f04ff336b4,AMERICAN CATALOG MAILERS ASSOCIATION
8bc82c70-b3ec-5881-9d9a-0a536e4f0166,INVESTORS REALTY LTD
6fb98c06-2a5f-5a49-a12d-95567ec66884,"ZIP MAILING SERVICES, INC."
c184c456-139d-5d56-bc4d-7f3d5ae724f0,CALIFORNIA FIG ADVISORY BOARD
9fe2a63f-9158-5e4f-8bb9-a7a140f754ab,AMERICAN COLLEGE OF SURGEONS
4a4d3137-bec6-579b-b3b2-b7d33d400311,"INTERNATIONAL SHIP REPAIR & MARINE SERVICES, INC."
9dd79055-2b9e-5b68-8479-b54a3cd725e3,"CIT GROUP, INC."
3349353b-6860-5398-af51-593f5a61dd90,PIEDMONT MUNICIPAL POWER AGENCY
abdfcbb2-95e2-5a0b-b2a1-0120f3ab39db,CARRICK BRAIN CENTERS
14f1eb46-8301-505b-85ac-26d07546119b,COMPETE AMERICA
efc3c6e2-2092-55fd-8816-3dadd10bfa61,COLORADO FARM BUREAU
585b5517-08d9-5852-8f00-67ce28582d02,ALTICOR
3e17bfa0-da58-5152-9d91-fc09b103b468,NATIONAL ASSN OF FARMERS MARKET NUTRITION PROGRAMS
9abb0826-6b26-58d4-bd5a-197d618ff2a2,DAIRY BUSINESS ASSOCIATION
2177b581-0c8a-5230-9731-0e94056588ff,THE CASTELLINI COMPANY
1d0a54fc-62b6-5ba8-93a3-272374049ea7,OCEAN DUKE CORPORATION
80f08903-7a1b-5466-b717-8addca25b6e0,REDPATH INTEGRATED PATHOLOGY INC
5ba97d59-eb3c-5cdf-b958-34c108cbd8da,LAS VEGAS SANDS CORPORATION
85fbaf66-0fae-55fd-93fe-18de1ddb68d9,GULF OYSTER INDUSTRY COUNCIL
