filing_uuid,general_issue_code,bill_id
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,hr156-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,hr2822-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,hr702-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,s1276-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,s1645-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,s1946-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,s2011-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,s2012-114
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX,s791-114
0003f56e-2c1f-4082-874d-d90df15615a4,TRA,hr1515-112
0003f56e-2c1f-4082-874d-d90df15615a4,TRA,s1449-112
0003f56e-2c1f-4082-874d-d90df15615a4,TRA,s528-112
000fca11-8af5-4a0e-be53-d3501a6aadb2,BUD,hr195-116
000fca11-8af5-4a0e-be53-d3501a6aadb2,FOR,hr1-116
0010da05-3be2-4a40-a174-d012a6845d28,NAT,s1932-116
001e187c-6f7c-4d74-89ab-49acdf169f9f,BUD,hconres27-114
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,ENG,hr3643-114
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,ENG,hr4745-114
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,ENG,s1925-114
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,TRA,hr4917-114
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,TRA,s2798-114
00225f6c-011e-4e6b-ac4c-2918771ff14d,HCR,hr2-114
0022d536-b0ed-44bd-81bb-f2c1e1e64a86,BUD,hr1105-111
0022d536-b0ed-44bd-81bb-f2c1e1e64a86,BUD,hr1-111
00247839-36cc-4722-ae60-7b947abe9afd,MMM,hr904-111
00247839-36cc-4722-ae60-7b947abe9afd,PHA,s726-111
0024ff1a-1172-4159-9fbe-0a4c9b6b9d86,SCI,hr589-115
0024ff1a-1172-4159-9fbe-0a4c9b6b9d86,SCI,hr5905-115
0024ff1a-1172-4159-9fbe-0a4c9b6b9d86,SCI,s2503-115
00274349-5629-4e85-823f-af07feb59e24,ENV,hr2454-111
00274349-5629-4e85-823f-af07feb59e24,ENV,s1733-111
00274349-5629-4e85-823f-af07feb59e24,SMB,hr1006-111
00274349-5629-4e85-823f-af07feb59e24,SMB,s418-111
002a2c50-0d89-4d10-8c84-8ca09f658242,FIN,hconres49-111
002a2c50-0d89-4d10-8c84-8ca09f658242,FIN,hr848-111
002a2c50-0d89-4d10-8c84-8ca09f658242,FIN,s3217-111
002a2c50-0d89-4d10-8c84-8ca09f658242,FIN,s379-111
002a2c50-0d89-4d10-8c84-8ca09f658242,FIN,sconres14-111
003107bd-7c91-47c2-9c8b-33cd18f914fd,CPT,hr1260-111
003107bd-7c91-47c2-9c8b-33cd18f914fd,CPT,s515-111
