filing_uuid,general_issue_code
00011871-2261-4bf2-a1b4-a9e052145d87,BUD
00011871-2261-4bf2-a1b4-a9e052145d87,TRA
000220ce-5f69-49a0-9b75-13eb44ffd228,TAX
000233cf-6fbd-47a0-b214-23e9bbd9d8b5,BUD
000349db-f013-44fe-ac5e-fa8a68948c73,VET
0003f56e-2c1f-4082-874d-d90df15615a4,FIN
0003f56e-2c1f-4082-874d-d90df15615a4,INS
0003f56e-2c1f-4082-874d-d90df15615a4,TRA
00047faa-c711-4cdf-b6a4-831e403b5e35,HCR
00047faa-c711-4cdf-b6a4-831e403b5e35,MMM
00047faa-c711-4cdf-b6a4-831e403b5e35,VET
000679aa-092a-4b40-a6c8-2e2e80fc3987,FIN
000cfe52-3e6d-4642-869b-3303409f0726,BUD
000cfe52-3e6d-4642-869b-3303409f0726,ECN
000cfe52-3e6d-4642-869b-3303409f0726,HCR
000cfe52-3e6d-4642-869b-3303409f0726,HOU
000cfe52-3e6d-4642-869b-3303409f0726,LAW
000cfe52-3e6d-4642-869b-3303409f0726,TEC
000cfe52-3e6d-4642-869b-3303409f0726,TRA
000d07c2-3273-4b1e-8230-d4c25f0559d0,DEF
000d9b69-7318-45f4-a789-c75c2f83b574,CPI
000d9b69-7318-45f4-a789-c75c2f83b574,TEC
000f03ac-8404-467e-a331-d5b6de1015f3,DEF
000f1a70-acb5-49c1-99c5-382dc7d18ddf,EDU
000f1a70-acb5-49c1-99c5-382dc7d18ddf,ENV
000f1a70-acb5-49c1-99c5-382dc7d18ddf,GOV
000f1a70-acb5-49c1-99c5-382dc7d18ddf,HCR
000f1a70-acb5-49c1-99c5-382dc7d18ddf,HOM
000f1a70-acb5-49c1-99c5-382dc7d18ddf,HOU
000f1a70-acb5-49c1-99c5-382dc7d18ddf,LAW
000f1a70-acb5-49c1-99c5-382dc7d18ddf,NAT
000f6880-8645-4011-b3a6-f1e77b9de67a,INS
000fca11-8af5-4a0e-be53-d3501a6aadb2,BUD
000fca11-8af5-4a0e-be53-d3501a6aadb2,ENG
000fca11-8af5-4a0e-be53-d3501a6aadb2,FIN
000fca11-8af5-4a0e-be53-d3501a6aadb2,FOR
000fca11-8af5-4a0e-be53-d3501a6aadb2,HCR
000fca11-8af5-4a0e-be53-d3501a6aadb2,MMM
000fca11-8af5-4a0e-be53-d3501a6aadb2,TAR
000fca11-8af5-4a0e-be53-d3501a6aadb2,TAX
000fca11-8af5-4a0e-be53-d3501a6aadb2,TEC
000fca11-8af5-4a0e-be53-d3501a6aadb2,TRD
000fca11-8af5-4a0e-be53-d3501a6aadb2,VET
00100ca4-2b76-4e8d-a0ac-79431e7f9c39,FIN
0010da05-3be2-4a40-a174-d012a6845d28,BUD
0010da05-3be2-4a40-a174-d012a6845d28,NAT
0011d92e-9f97-4bec-8fc6-e1c44dc11cd2,BUD
0011d92e-9f97-4bec-8fc6-e1c44dc11cd2,DEF
00131d49-51e8-4dcf-b9e5-db6c56ddc7a4,HCR
00132ca4-eaad-46a7-9137-61442f6a0416,ENG
00138fcc-ec8b-45e1-aacc-896266cd43ed,FIR
00157369-86aa-4634-8d36-fe240618bbc5,TRA
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,BAN
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,ENG
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,ENV
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,ROD
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,TAX
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,TOB
00159e5d-72ae-42c9-9baf-2fc0a14ffefc,TRA
0015a2fc-da2e-42c2-bb75-dd020294c603,ENG
0015a2fc-da2e-42c2-bb75-dd020294c603,TAX
0015a2fc-da2e-42c2-bb75-dd020294c603,TRD
00179506-8108-4017-a2e7-a7087615336c,DEF
00179506-8108-4017-a2e7-a7087615336c,EDU
00179506-8108-4017-a2e7-a7087615336c,ENG
00179506-8108-4017-a2e7-a7087615336c,HCR
00179506-8108-4017-a2e7-a7087615336c,HOU
00179506-8108-4017-a2e7-a7087615336c,LBR
00179506-8108-4017-a2e7-a7087615336c,VET
0017a99c-484b-4d18-a6d3-4470010569ce,HCR
0017c1bc-7dc9-4752-94b1-0c21a9fac795,BUD
0017c1bc-7dc9-4752-94b1-0c21a9fac795,NAT
001a156a-ef7c-4d0d-8811-e79e160958b4,BUD
001a156a-ef7c-4d0d-8811-e79e160958b4,TAX
001bf5ab-59ec-4957-85f0-d84ba24b2b20,ENG
001bf5ab-59ec-4957-85f0-d84ba24b2b20,TAX
001d2b1d-91e8-4add-8f7d-2b39aed4e480,HOU
001d2b1d-91e8-4add-8f7d-2b39aed4e480,IMM
001e187c-6f7c-4d74-89ab-49acdf169f9f,BUD
001e187c-6f7c-4d74-89ab-49acdf169f9f,HOM
001e187c-6f7c-4d74-89ab-49acdf169f9f,LAW
00205db9-4724-4b6b-a8ef-cda1404ad52f,TEC
002172fd-cd77-40b3-85c8-2e3d9b45f250,UTI
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,BUD
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,ENG
00217bb6-fe7a-4290-9d8a-1820b14eb8f3,TRA
002215f2-d06e-42d5-8143-199ed23043ef,SCI
00225f6c-011e-4e6b-ac4c-2918771ff14d,BUD
00225f6c-011e-4e6b-ac4c-2918771ff14d,DEF
00225f6c-011e-4e6b-ac4c-2918771ff14d,EDU
00225f6c-011e-4e6b-ac4c-2918771ff14d,HCR
00225f6c-011e-4e6b-ac4c-2918771ff14d,MAR
00225f6c-011e-4e6b-ac4c-2918771ff14d,MMM
0022d536-b0ed-44bd-81bb-f2c1e1e64a86,BUD
00247839-36cc-4722-ae60-7b947abe9afd,HCR
00247839-36cc-4722-ae60-7b947abe9afd,MMM
00247839-36cc-4722-ae60-7b947abe9afd,PHA
0024df5e-926c-4316-b3d7-3a2d94496def,FOO
0024df5e-926c-4316-b3d7-3a2d94496def,HCR
0024df5e-926c-4316-b3d7-3a2d94496def,MMM
0024df5e-926c-4316-b3d7-3a2d94496def,TRD
0024ff1a-1172-4159-9fbe-0a4c9b6b9d86,BUD
0024ff1a-1172-4159-9fbe-0a4c9b6b9d86,SCI
00274349-5629-4e85-823f-af07feb59e24,ENV
00274349-5629-4e85-823f-af07feb59e24,LAW
00274349-5629-4e85-823f-af07feb59e24,SMB
0027bf86-0b60-427c-979a-f875f687e9fa,BUD
0027bf86-0b60-427c-979a-f875f687e9fa,ENV
0027bf86-0b60-427c-979a-f875f687e9fa,POS
0027bf86-0b60-427c-979a-f875f687e9fa,TOU
002861f3-f47e-4e5c-8586-6b5217bb1c3d,FOR
00286fad-9f79-4ddc-8ea2-32d095ab0c3c,BAN
00286fad-9f79-4ddc-8ea2-32d095ab0c3c,FIN
00286fad-9f79-4ddc-8ea2-32d095ab0c3c,IND
0028917f-1441-42ae-a185-82b864d6b52b,TRD
0028efbc-72a1-43b7-8822-c2b1af69092e,BUD
0028efbc-72a1-43b7-8822-c2b1af69092e,ECN
0028efbc-72a1-43b7-8822-c2b1af69092e,ENG
00296dba-e3b0-4012-80dc-badc923feb90,ENG
002a187a-770f-44b1-82ab-e57f092cfd8c,DIS
002a2c50-0d89-4d10-8c84-8ca09f658242,FIN
002a2c50-0d89-4d10-8c84-8ca09f658242,TEC
002cd3be-8704-4002-8963-44ac57437bfb,EDU
002d2eba-701c-49d5-b3d3-70af698aaad6,BUD
002d2eba-701c-49d5-b3d3-70af698aaad6,DIS
002d2eba-701c-49d5-b3d3-70af698aaad6,ENV
002d2eba-701c-49d5-b3d3-70af698aaad6,TAX
002ecbbb-d54d-4b6b-a328-d7714b774549,BUD
002ecbbb-d54d-4b6b-a328-d7714b774549,IMM
002fa0ef-25cb-42b8-9d82-ea4ee879d861,HCR
002fa0ef-25cb-42b8-9d82-ea4ee879d861,MMM
002fa0ef-25cb-42b8-9d82-ea4ee879d861,PHA
002fc4ef-3c15-4947-bb84-0cdfd67b2819,TRA
00301ff8-f0d9-4d24-8e92-64e79ca60bca,BUD
00301ff8-f0d9-4d24-8e92-64e79ca60bca,RRR
00301ff8-f0d9-4d24-8e92-64e79ca60bca,TRA
003107bd-7c91-47c2-9c8b-33cd18f914fd,CPT
