registrant_id,bill_id
2571,s935-111
2571,s872-115
2571,s852-111
2571,s842-113
2571,s712-111
2571,s596-113
2571,s54-111
2571,s468-111
2571,s46-111
2571,s438-111
2571,s434-111
2571,s382-111
2571,s351-113
2571,s318-111
2571,s307-111
2571,s295-111
2571,s264-111
2571,s253-115
2571,s243-115
2571,s2276-113
2571,s214-111
2571,s2037-113
2571,s1932-113
2571,s1669-111
2571,s1557-113
2571,s1555-113
2571,s1522-111
2571,s1521-111
2571,s1427-111
2571,s1423-111
2571,s1380-111
2571,s1334-115
2571,s1301-115
2571,s1300-111
2571,s1279-111
2571,s1263-111
2571,s1262-111
2571,s1218-111
2571,s1185-111
2571,s1181-111
2571,s1171-111
2571,s1169-115
2571,s1143-113
2571,s1114-111
2571,s1110-111
2571,s1108-111
2571,s1079-111
2571,s1012-113
2571,hr902-111
2571,hr807-115
2571,hr741-115
2571,hr668-111
2571,hr619-111
2571,hr592-111
2571,hr5481-113
2571,hr487-111
2571,hr4656-113
2571,hr465-111
2571,hr43-111
2571,hr4188-113
2571,hr3991-113
2571,hr3890-113
2571,hr3698-113
2571,hr3675-111
2571,hr3665-111
2571,hr3663-111
2571,hr3653-111
2571,hr3631-111
2571,hr362-111
2571,hr3556-111
2571,hr3444-113
2571,hr3430-111
2571,hr3422-111
2571,hr3374-111
2571,hr3369-111
2571,hr3361-111
2571,hr3356-111
2571,hr3256-111
2571,hr319-111
2571,hr3184-111
2571,hr3172-111
2571,hr3152-111
2571,hr3141-111
2571,hr3138-111
2571,hr3120-115
2571,hr297-113
2571,hr2962-111
2571,hr2959-111
2571,hr2931-113
2571,hr2921-111
2571,hr2919-111
2571,hr2859-111
2571,hr2844-111
2571,hr2805-111
2571,hr2801-113
2571,hr2797-115
2571,hr2784-111
2571,hr2773-111
2571,hr2758-111
2571,hr2753-111
2571,hr2718-111
2571,hr27-111
2571,hr2692-111
2571,hr2688-111
2571,hr2687-115
2571,hr2578-113
2571,hr2534-111
2571,hr2525-111
2571,hr2509-115
2571,hr2443-111
2571,hr2267-115
2571,hr2204-111
2571,hr2124-111
2571,hr2094-111
2571,hr2068-111
2571,hr1955-115
2571,hr1920-113
2571,hr1787-113
2571,hr1776-111
2571,hr1628-115
2571,hr1250-113
2571,hr1188-111
2571,hr1117-111
2571,hjres59-113
